epoch,train_loss,test_loss,train_accuracy,test_accuracy,train_f1,test_f1
0,0.7,0.69,0.49,0.53,0.59,0.69
1,0.7,0.69,0.5,0.53,0.49,0.69
2,0.69,0.69,0.5,0.53,0.46,0.69
3,0.69,0.69,0.5,0.53,0.46,0.69
4,0.69,0.69,0.5,0.53,0.48,0.68
5,0.69,0.69,0.51,0.47,0.43,0.0
6,0.69,0.69,0.5,0.55,0.41,0.64
7,0.69,0.69,0.51,0.55,0.49,0.69
8,0.69,0.69,0.52,0.5,0.47,0.67
9,0.69,0.69,0.51,0.47,0.47,0.55
10,0.69,0.69,0.52,0.55,0.46,0.69
11,0.69,0.69,0.52,0.5,0.48,0.67
12,0.69,0.69,0.52,0.53,0.5,0.68
13,0.68,0.69,0.53,0.53,0.53,0.69
14,0.68,0.69,0.54,0.53,0.54,0.69
15,0.68,0.69,0.55,0.55,0.56,0.7
16,0.67,0.69,0.57,0.55,0.57,0.7
17,0.67,0.68,0.57,0.55,0.57,0.7
18,0.66,0.67,0.58,0.55,0.55,0.7
19,0.66,0.66,0.58,0.55,0.54,0.7
20,0.65,0.64,0.6,0.57,0.55,0.71
21,0.65,0.63,0.6,0.7,0.54,0.76
22,0.65,0.62,0.61,0.75,0.55,0.79
23,0.64,0.6,0.61,0.75,0.55,0.79
24,0.64,0.61,0.62,0.75,0.54,0.76
25,0.64,0.6,0.62,0.78,0.55,0.78
26,0.64,0.59,0.62,0.78,0.53,0.78
27,0.64,0.59,0.62,0.75,0.54,0.76
28,0.63,0.59,0.62,0.78,0.55,0.77
29,0.64,0.58,0.63,0.72,0.54,0.72
30,0.63,0.58,0.63,0.72,0.54,0.72
31,0.63,0.58,0.63,0.75,0.53,0.75
32,0.63,0.57,0.63,0.72,0.54,0.72
33,0.63,0.58,0.63,0.75,0.54,0.74
34,0.63,0.58,0.63,0.75,0.54,0.74
35,0.63,0.57,0.64,0.72,0.55,0.72
36,0.63,0.57,0.64,0.72,0.55,0.72
37,0.63,0.57,0.64,0.75,0.54,0.74
38,0.63,0.57,0.63,0.75,0.52,0.74
39,0.63,0.57,0.64,0.75,0.53,0.74
40,0.63,0.57,0.64,0.75,0.53,0.74
41,0.62,0.56,0.64,0.75,0.54,0.74
42,0.62,0.57,0.64,0.75,0.53,0.74
43,0.63,0.57,0.64,0.75,0.54,0.74
44,0.63,0.57,0.64,0.75,0.54,0.74
45,0.63,0.58,0.64,0.68,0.53,0.63
46,0.63,0.57,0.64,0.75,0.53,0.74
47,0.63,0.57,0.64,0.68,0.54,0.63
48,0.63,0.58,0.64,0.68,0.53,0.63
49,0.62,0.57,0.65,0.68,0.54,0.63
50,0.62,0.57,0.64,0.72,0.53,0.7
51,0.62,0.57,0.64,0.68,0.53,0.63
52,0.62,0.57,0.64,0.7,0.53,0.67
53,0.62,0.56,0.64,0.72,0.53,0.7
54,0.62,0.57,0.64,0.68,0.52,0.63
55,0.62,0.57,0.64,0.68,0.54,0.63
56,0.62,0.57,0.64,0.68,0.54,0.63
57,0.62,0.56,0.64,0.7,0.53,0.67
58,0.62,0.57,0.64,0.68,0.52,0.63
59,0.62,0.57,0.64,0.68,0.53,0.63
60,0.62,0.56,0.65,0.68,0.53,0.63
61,0.62,0.56,0.64,0.72,0.53,0.7
62,0.62,0.56,0.65,0.72,0.54,0.7
63,0.62,0.57,0.64,0.68,0.51,0.63
64,0.62,0.56,0.65,0.68,0.53,0.63
65,0.62,0.57,0.64,0.68,0.53,0.63
66,0.62,0.57,0.64,0.68,0.53,0.63
67,0.62,0.56,0.64,0.68,0.52,0.63
68,0.62,0.56,0.64,0.68,0.52,0.63
69,0.62,0.58,0.64,0.68,0.53,0.63
70,0.62,0.57,0.64,0.68,0.52,0.63
71,0.62,0.57,0.64,0.68,0.53,0.63
72,0.62,0.56,0.64,0.68,0.53,0.63
73,0.62,0.58,0.65,0.68,0.53,0.63
74,0.62,0.57,0.65,0.68,0.53,0.63
75,0.62,0.57,0.65,0.68,0.53,0.63
76,0.62,0.57,0.64,0.68,0.52,0.63
77,0.62,0.58,0.64,0.68,0.53,0.63
78,0.61,0.57,0.65,0.68,0.53,0.63
79,0.62,0.56,0.65,0.68,0.53,0.63
80,0.62,0.57,0.64,0.68,0.51,0.63
81,0.62,0.57,0.64,0.68,0.52,0.63
82,0.62,0.57,0.64,0.68,0.52,0.63
83,0.62,0.57,0.65,0.68,0.51,0.63
84,0.62,0.58,0.65,0.68,0.52,0.63
85,0.62,0.56,0.65,0.68,0.52,0.63
86,0.61,0.57,0.65,0.68,0.52,0.63
87,0.62,0.58,0.65,0.68,0.52,0.63
88,0.62,0.58,0.64,0.68,0.52,0.63
89,0.62,0.57,0.65,0.68,0.52,0.63
90,0.61,0.57,0.65,0.68,0.53,0.63
91,0.61,0.57,0.65,0.68,0.52,0.63
92,0.62,0.58,0.65,0.68,0.52,0.63
93,0.61,0.58,0.65,0.68,0.53,0.63
94,0.61,0.59,0.64,0.68,0.52,0.63
95,0.61,0.58,0.65,0.68,0.53,0.63
96,0.61,0.58,0.65,0.68,0.53,0.63
97,0.62,0.58,0.65,0.68,0.52,0.63
98,0.61,0.58,0.65,0.68,0.52,0.63
99,0.61,0.57,0.65,0.68,0.52,0.63
